"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861913554653466897","Wed Nov 27 23:22:38 +0000 2024","0","Contoh Soal Seni Rupa Kelas 4 Semester 1 Kurikulum Merdeka https://t.co/n4hAne09eU","1861913554653466897","","","in","iNews Tower","0","0","0","https://x.com/officialinews_/status/1861913554653466897","132078023","officialinews_"
"1872219480686043326","Thu Dec 26 09:54:43 +0000 2024","0","XeF4 Memiliki Bentuk Molekul dan Hibridisasi . . Jawaban Kimia Kelas 11 Hal 60-62 Kurikulum Merdeka https://t.co/FIXwSfiPpW","1872219480686043326","","","in","Ambon","0","0","0","https://x.com/tribunambonnews/status/1872219480686043326","1449955921312960513","tribunambonnews"
"1778558649872339124","Thu Apr 11 23:00:00 +0000 2024","272","Pada akhir 2021 Kemendikbudristek meluncurkan Wiyata Kinarya Merdeka Belajar (WKMB). Wiyata kinarya merupakan padanan corporate university . Wiyata = pengajaran; pelajaran; kinarya = karya + sisipan -in-. https://t.co/6IdFz5EYok #467","1778558649872339124","","","in","ivanlanin di gmail titik com","2","2","58","https://x.com/ivanlanin/status/1778558649872339124","7300962","ivanlanin"
"1871820003479376113","Wed Dec 25 07:27:20 +0000 2024","0","Kurikulum Merdeka vs Kurikulum Belum Ada Judul https://t.co/5Mr18QWAUN","1871820003479376113","","","in","Makassar","0","0","0","https://x.com/asnawin2011/status/1871820003479376113","242124195","asnawin2011"
"1864274814183330311","Wed Dec 04 11:45:26 +0000 2024","0","40 Soal UAS/PAS PAI Kelas 4 Semester 1 Kurikulum Merdeka dan KunciJawabannya https://t.co/ieqyf0aNQy","1864274814183330311","","","in","Indonesia","0","0","0","https://x.com/haibundacom/status/1864274814183330311","864334585860980737","haibundacom"
"1748538341421879458","Sat Jan 20 02:58:54 +0000 2024","276","Ini ga bisa cuman jadi tugas Kemendikbud doang. Kurikulum Merdeka itu short-term solution in the most literal sense; hanya berlaku selama 3-4 tahun dan itupun masih ga efektif untuk menyelesaikan masalah labor force mismatch. Belum lagi mindset kebijakannya salah; beranggapan","1748540575970963925","","tilehopper","in","In your phone","1","2","40","https://x.com/tilehopper/status/1748540575970963925","1249662133916192768","tilehopper"
"1864988843457548612","Fri Dec 06 11:02:44 +0000 2024","0","Perbedaan Pendapat Doa Qunut dalam Salat Subuh! Kunci Jawaban PAI Kelas 9 Hal 226 Kurikulum Merdeka https://t.co/WHulIffYuW","1864988843457548612","","","in","Ambon","0","0","0","https://x.com/tribunambonnews/status/1864988843457548612","1449955921312960513","tribunambonnews"
"1871977634743386610","Wed Dec 25 17:53:42 +0000 2024","15","Tulisan opini di kumparan yang mengutip pernyataan saya https://t.co/Ca7p6XVVjN","1871977634743386610","","","in","","0","0","2","https://x.com/zanatul_91/status/1871977634743386610","88120377","zanatul_91"
"1871416224699351544","Tue Dec 24 04:42:51 +0000 2024","3","10 tahun kurikulum merdeka gak ada hasilnya.","1871416224699351544","","","in","twitter.com","0","0","1","https://x.com/mulanbilqis/status/1871416224699351544","1138727688","mulanbilqis"
"1831891839575847269","Fri Sep 06 03:07:04 +0000 2024","214","Harry Poeze &amp; Hank Schulte Nordholt MERDEKA: THE STRUGGLE FOR INDONESIA INDEPENDENCE AND THE REPUBLIC S PRECARIOUS RISE 1945-1950 Amsterdam: Amsterdam University Press 2024 Unduh : https://t.co/7cQin1fNUP #sejarahindonesia #catatanindonesia #catatannusantara https://t.co/GHbor54VWA","1831891839575847269","https://pbs.twimg.com/media/GWwv6hwa8AUc7AG.jpg","","en","Indonesia ","5","2","64","https://x.com/CatatNusantara/status/1831891839575847269","1471782862865125378","CatatNusantara"
"1821122662091124847","Wed Aug 07 09:54:12 +0000 2024","255","Jiwa Merdeka Malaysia Madani! ️ Sempena bulan kemerdekaan tahun ini marilah kita beristiqamah berjiwa Merdeka. Merdeka dari sikap Assabiyah. Merdeka dari rasuah. Merdeka dari perkauman. Merdeka dari tabiat sifat yg buruk. Jiwa Merdeka Malaysia Madani! 🇲🇾️ @kpkt_gov https://t.co/cCdkDHN6yE","1821122662091124847","https://pbs.twimg.com/ext_tw_video_thumb/1821122601420513280/pu/img/XWcyNWN8WEBKsLl-.jpg","","in","","5","28","29","https://x.com/NgaKorMing/status/1821122662091124847","92917860","NgaKorMing"
"1868161900581929440","Sun Dec 15 05:11:20 +0000 2024","0","Yg begini bukan praktek mapel biasanya tp kaya projek2 ala kurikulum merdeka.","1868161900581929440","","","in","","0","0","0","https://x.com/jegersan/status/1868161900581929440","100383112","jegersan"
"1867112931361714644","Thu Dec 12 07:43:06 +0000 2024","2","bang mba @VindhTR ini pernah misu soal kurikulum merdeka soalnya anak dia kelas 1 sd disuruh bikin prakarya trs dijual abis itu itung laba-rugi. menurut lu aja udah having sex atau belum. pertanyaan tolol juga sih ini korelasinya apa?","1867112931361714644","","","in","Fishermen Kingdom, Atlantis","0","1","0","https://x.com/purebprince/status/1867112931361714644","1276207574694498304","purebprince"
